"input.source","input.name","input.ap","input.states","input.edges","input.transitions","input.acc_sets","input.scc","input.nondetstates","input.nondeterministic","input.alternating","tool","exit_status","exit_code","time","output.ap","output.states","output.edges","output.transitions","output.acc_sets","output.scc","output.nondetstates","output.nondeterministic","output.alternating"
"-:1461871.1-1472585.7",,2,2141,8564,8564,4,1,0,0,0,"cat %H | ../target/release/oai todpa > %O","ok",0,0.269375,2,2141,8564,8564,4,1,0,0,0
"-:1472586.1-1472920.7",,2,65,260,260,4,1,0,0,0,"cat %H | ../target/release/oai todpa > %O","ok",0,0.0204173,2,65,260,260,4,1,0,0,0
"-:1472921.1-1485165.7",,2,2447,9788,9788,4,1,0,0,0,"cat %H | ../target/release/oai todpa > %O","ok",0,0.307811,2,2447,9788,9788,4,1,0,0,0
"-:1485166.1-1529925.7",,2,8950,35800,35800,4,1,0,0,0,"cat %H | ../target/release/oai todpa > %O","ok",0,1.13627,2,8950,35800,35800,4,1,0,0,0
"-:1529926.1-1552145.7",,2,4442,17768,17768,4,1,0,0,0,"cat %H | ../target/release/oai todpa > %O","ok",0,0.555079,2,4442,17768,17768,4,1,0,0,0
"-:1552146.1-1569145.7",,2,3398,13592,13592,4,1,0,0,0,"cat %H | ../target/release/oai todpa > %O","ok",0,0.429251,2,3398,13592,13592,4,1,0,0,0
"-:1569146.1-1606095.7",,2,7388,29552,29552,4,1,0,0,0,"cat %H | ../target/release/oai todpa > %O","ok",0,0.906078,2,7388,29552,29552,4,1,0,0,0
"-:1606096.1-1649515.7",,2,8682,34728,34728,4,3,0,0,0,"cat %H | ../target/release/oai todpa > %O","ok",0,1.09339,2,8682,34728,34728,4,3,0,0,0
"-:1649516.1-1660925.7",,2,2280,9120,9120,4,1,0,0,0,"cat %H | ../target/release/oai todpa > %O","ok",0,0.290105,2,2280,9120,9120,4,1,0,0,0
"-:1660926.1-1686195.7",,2,5052,20208,20208,4,1,0,0,0,"cat %H | ../target/release/oai todpa > %O","ok",0,0.640533,2,5052,20208,20208,4,1,0,0,0
"-:1686196.1-1700140.7",,2,2787,11148,11148,4,1,0,0,0,"cat %H | ../target/release/oai todpa > %O","ok",0,0.357692,2,2787,11148,11148,4,1,0,0,0
"-:1700141.1-1704040.7",,2,778,3112,3112,4,1,0,0,0,"cat %H | ../target/release/oai todpa > %O","ok",0,0.110408,2,778,3112,3112,4,1,0,0,0
"-:1704041.1-1721260.7",,2,3442,13768,13768,4,1,0,0,0,"cat %H | ../target/release/oai todpa > %O","ok",0,0.436959,2,3442,13768,13768,4,1,0,0,0
"-:1721261.1-1769520.7",,2,9650,38600,38600,4,1,0,0,0,"cat %H | ../target/release/oai todpa > %O","ok",0,1.23232,2,9650,38600,38600,4,1,0,0,0
"-:1769521.1-1818320.7",,2,9758,39032,39032,4,1,0,0,0,"cat %H | ../target/release/oai todpa > %O","ok",0,1.22796,2,9758,39032,39032,4,1,0,0,0
"-:1818321.1-1845955.7",,2,5525,22100,22100,4,1,0,0,0,"cat %H | ../target/release/oai todpa > %O","ok",0,0.681861,2,5525,22100,22100,4,1,0,0,0
"-:1845956.1-1860300.7",,2,2867,11468,11468,4,2,0,0,0,"cat %H | ../target/release/oai todpa > %O","ok",0,0.364177,2,2867,11468,11468,4,2,0,0,0
"-:1860301.1-1887210.7",,2,5380,21520,21520,4,1,0,0,0,"cat %H | ../target/release/oai todpa > %O","ok",0,0.671725,2,5380,21520,21520,4,1,0,0,0
"-:1887211.1-1899020.7",,2,2360,9440,9440,4,1,0,0,0,"cat %H | ../target/release/oai todpa > %O","ok",0,0.301646,2,2360,9440,9440,4,1,0,0,0
"-:1899021.1-1947280.7",,2,9650,38600,38600,4,1,0,0,0,"cat %H | ../target/release/oai todpa > %O","ok",0,1.23533,2,9650,38600,38600,4,1,0,0,0
"-:1947281.1-1981075.7",,2,6757,27028,27028,4,1,0,0,0,"cat %H | ../target/release/oai todpa > %O","ok",0,0.849837,2,6757,27028,27028,4,1,0,0,0
